Time [msec],x [m],y [m],z [m],Red,Green,Blue
57250,-20.5105,-56.3109,11.5381,255,255,255
57500,-19.9734,-57.3273,11.5845,255,255,255
57750,-19.403,-58.3478,11.6314,255,255,255
58000,-18.7988,-59.3718,11.6789,255,255,255
58250,-18.16,-60.3985,11.727,255,255,255
58500,-17.486,-61.4274,11.7756,255,255,255
58750,-16.7759,-62.4578,11.8247,255,255,255
59000,-16.0289,-63.4889,11.8744,255,255,255
59250,-15.2443,-64.5195,11.9247,255,255,255
59500,-14.4217,-65.5485,11.9756,255,255,255
59750,-13.5608,-66.5745,12.0271,255,255,255
60000,-12.6611,-67.5963,12.0791,255,255,255
60250,-11.7225,-68.6125,12.1318,255,255,255
60500,-10.7446,-69.622,12.185,255,255,255
60750,-9.727,-70.6234,12.2387,255,255,255
61000,-8.6694,-71.6155,12.293,255,255,255
61250,-7.5714,-72.597,12.3478,255,255,255
61500,-6.4328,-73.5666,12.4031,255,255,255
61750,-5.2532,-74.5231,12.4589,255,255,255
62000,-4.0323,-75.4652,12.5152,255,255,255
62250,-2.7697,-76.3916,12.5721,255,255,255
62500,-1.4651,-77.3011,12.6294,255,255,255
62750,-0.1181,-78.1924,12.6871,255,255,255
63000,1.2715,-79.0641,12.7454,255,255,255
63250,2.7041,-79.9152,12.8041,255,255,255
63500,4.1801,-80.744,12.8633,255,255,255
63750,5.6997,-81.5488,12.9229,255,255,255
64000,7.2622,-82.3279,12.9831,255,255,255
64250,8.8673,-83.0797,13.0437,255,255,255
64500,10.5142,-83.8026,13.1048,255,255,255
64750,12.2025,-84.4949,13.1663,255,255,255
65000,13.9317,-85.155,13.2283,255,255,255
65250,15.7011,-85.7813,13.2907,255,255,255
65500,17.5104,-86.3721,13.3535,255,255,255
65750,19.359,-86.9258,13.4168,255,255,255
66000,21.2462,-87.4407,13.4805,255,255,255
66250,23.1717,-87.9152,13.5445,255,255,255
66500,25.1348,-88.3478,13.609,255,255,255
66750,27.135,-88.7366,13.6738,255,255,255
67000,29.1718,-89.0802,13.739,255,255,255
67250,31.2447,-89.3768,13.8046,255,255,255
67500,33.3531,-89.6249,13.8706,255,255,255
67750,35.4965,-89.8228,13.9368,255,255,255
68000,37.6743,-89.9686,14.0035,255,255,255
68250,39.8851,-90.0605,14.0705,255,255,255
