idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
90,4.5,2.4887,-1.0744,-10.2065,1.6085004746067264,0.6925009335257396,-0.3359749113143621,1.2651068504139449,0.5458337772375375,-0.26515229642553706,0,70,255.0,255.0,255.0
91,4.55,2.570703529631537,-1.0390941214135272,-10.223629548039515,1.671583157418407,0.7197050037059647,-0.3491942523315324,1.2582004620532918,0.542329029971466,-0.263621344261278,0,70,255.0,255.0,255.0
92,4.6000000000000005,2.6558525604182077,-1.0024324202521249,-10.241418149439683,1.7343205208120562,0.7467338365228865,-0.36233704574049,1.2512940736926383,0.5388242827053945,-0.2620903920970189,0,70,255.0,255.0,255.0
93,4.65,2.744129826389109,-0.9644236583839598,-10.259861976820094,1.7967125647876716,0.7735874319765044,-0.3754032915412345,1.2443876853319853,0.5353195354393231,-0.2605594399327598,0,70,255.0,255.0,255.0
94,4.7,2.8355180615733406,-0.9250765976771964,-10.278957202800337,1.8587592893452545,0.8002657900668186,-0.3883929897337659,1.237481296971332,0.5318147881732516,-0.2590284877685008,0,70,255.0,255.0,255.0
95,4.75,2.93,-0.8844,-10.2987,1.9204606944848044,0.8267689107938293,-0.4013061403180844,1.2305749086106825,0.5283100409071819,-0.2574975356042417,0,70,255.0,255.0,255.0
96,4.800000000000001,3.0275590882438825,-0.8424019822409885,-10.319086592270873,1.9818595329480027,0.8531354929303215,-0.41414581722606286,1.2253786299172116,0.5263532445524914,-0.2560895407148884,0,70,255.0,255.0,255.0
97,4.8500000000000005,3.128181623062557,-0.7990880813705963,-10.340113408393533,2.0429985574765266,0.8794042352490787,-0.42691509438957337,1.2201823512237406,0.524396448197801,-0.25468154582553504,0,70,255.0,255.0,255.0
98,4.9,3.2318546137592903,-0.7544631893797097,-10.361776928380754,2.1038777680703764,0.9055751377501015,-0.4396139718086163,1.2149860725302697,0.5224396518431105,-0.2532735509361817,0,70,255.0,255.0,255.0
99,4.95,3.3385650696373497,-0.7085321982592154,-10.384073632245318,2.1644971647295526,0.9316482004333896,-0.4522424494831915,1.209789793836799,0.52048285548842,-0.2518655560468284,0,70,255.0,255.0,255.0
100,5.0,3.4483,-0.6613,-10.407,2.224856747454056,0.9576234232989433,-0.464800527413299,1.2045935151433298,0.5185260591337251,-0.2504575611574751,0,70,255.0,255.0,255.0
101,5.050000000000001,3.5610457173929397,-0.6127715496225162,-10.430552882876997,2.2849147107895864,0.9834970245727509,-0.47731047876421523,1.197725018277866,0.5164179918185621,-0.24994049287916534,0,70,255.0,255.0,255.0
102,5.1000000000000005,3.6767857473315724,-0.562952054265487,-10.45473061698619,2.344629249281843,1.0092652224807999,-0.48979457670121573,1.1908565214124023,0.5143099245033991,-0.24942342460085562,0,70,255.0,255.0,255.0
